Type,Dedicated Graphic Memory Capacity,SSD,RAM (in GB),Expandable Memory,Touchscreen,Screen Size (in inch),screen_resolution,Storage,CPU_ranking,gpu_benchmark,ram_type_tokenized,Price(RM),Refresh_Rate
1,8.0,1,32,1,0,17.3,1440,1000,4,168.0,7,12924.45,1
1,8.0,1,32,1,0,15.6,1440,1000,4,168.0,7,12649.45,1
1,4.0,1,16,0,0,16.1,1080,512,64,72.6,4,5725.0,1
1,4.0,1,16,0,0,15.6,1080,512,24,72.6,4,4824.44,1
2,0.0,1,16,0,1,14.0,1080,512,108,4.23,4,4179.45,1
2,0.0,1,16,0,0,14.0,1080,512,61,17.5,4,4311.73,1
2,0.0,1,4,0,0,15.6,1080,256,745,4.23,4,1610.95,1
3,0.0,1,16,0,1,13.3,1080,1000,24,102.0,4,5021.94,1
1,4.0,1,8,1,0,15.6,1080,1000,187,59.9,4,3574.45,2
2,0.0,1,8,1,0,15.6,1080,256,674,5.05,4,1814.94,1
2,0.0,1,8,1,0,15.6,1080,256,579,102.0,4,1704.45,1
2,0.0,1,16,1,0,13.4,1080,512,108,17.5,6,8230.48,1
3,0.0,1,16,0,1,14.0,1080,512,24,102.0,4,5457.04,1
1,4.0,1,16,0,0,15.6,1080,1024,110,72.6,4,4563.9,1
4,0.0,1,8,0,0,15.6,1080,256,330,102.0,4,2032.2,1
1,4.0,1,32,1,1,13.4,1080,1000,48,59.9,6,7149.45,2
1,8.0,1,16,1,0,15.6,1080,1000,61,154.0,4,8704.85,2
4,0.0,1,8,0,0,15.6,1080,256,362,5.05,4,2639.45,1
2,0.0,1,16,0,0,14.0,1440,512,108,17.5,6,3574.45,1
2,0.0,1,16,0,0,14.0,1440,512,108,17.5,6,3574.45,1
2,0.0,1,16,0,0,14.0,1440,512,108,17.5,6,3574.45,1
1,4.0,1,16,1,0,15.6,1080,512,61,59.0,4,5719.45,2
1,4.0,1,8,0,0,15.6,1080,512,87,72.6,4,3821.95,2
4,0.0,1,4,0,0,14.1,1080,128,745,5.05,4,1209.45,1
2,0.0,1,16,0,0,14.0,1440,512,69,17.5,4,4124.45,1
2,0.0,1,16,0,0,14.0,1440,512,38,17.5,4,5224.45,1
2,0.0,1,16,0,0,14.0,1440,512,69,17.5,8,4949.45,1
2,0.0,1,16,0,1,14.0,1440,1000,38,17.5,8,7424.45,1
2,0.0,1,16,0,0,14.0,1440,512,69,17.5,4,4124.45,1
2,0.0,1,16,0,0,14.0,1440,512,38,17.5,8,5774.45,1
2,0.0,1,16,0,0,14.0,1440,512,38,17.5,4,5224.45,2
2,0.0,1,16,0,1,14.0,1440,512,69,17.5,8,6324.45,1
2,0.0,1,8,1,0,14.0,1080,256,330,10.6,4,2364.45,1
1,4.0,1,8,0,0,15.6,1080,512,70,72.6,4,4427.5,1
1,6.0,1,16,0,0,16.6,1080,512,58,132.0,4,5884.45,1
2,0.0,1,8,0,0,15.6,1080,256,187,4.23,4,2388.65,1
4,0.0,1,8,0,0,15.6,720,1256,108,4.23,4,3629.45,1
1,4.0,1,8,0,0,17.3,1080,512,75,59.9,4,4534.7,1
2,0.0,1,16,0,0,14.0,1080,512,108,17.5,4,3354.45,1
2,0.0,1,8,0,0,15.6,1080,512,187,5.05,4,2639.45,1
1,6.0,1,16,1,0,15.6,1440,1000,38,132.0,7,7644.45,1
1,4.0,1,16,1,0,15.6,1080,512,69,72.6,7,4839.45,1
1,6.0,1,16,1,0,15.6,1080,512,38,132.0,7,7039.45,1
2,0.0,1,8,0,0,15.6,720,256,362,5.05,4,2034.45,1
1,4.0,1,16,0,0,15.6,1080,512,108,72.6,4,4096.95,1
1,4.0,1,16,1,0,15.6,1080,1000,38,59.0,7,6461.95,1
1,4.0,1,16,1,0,15.6,1080,512,38,59.0,7,5774.45,1
1,4.0,1,8,0,0,15.6,1080,512,108,72.6,4,3821.95,1
2,0.0,1,8,0,0,15.6,1080,512,108,17.5,4,2749.45,1
